id	lane	result	receipt
0804-claude	claude	FAIL	review/v1.1.0/0804-claude.md
0804-codex	codex	FAIL	review/v1.1.0/0804-codex.md
0804-kimi	kimi	EXCLUDED	review/v1.1.0/0804-kimi.md
0804-nested	nested-one-shot	NO_REVIEW	review/v1.1.0/0804-nested.md
21af-claude	claude	EXCLUDED	review/v1.1.0/21af-claude.md
21af-codex	codex	FAIL	review/v1.1.0/21af-codex.md
21af-kimi	kimi	NO_REVIEW	review/v1.1.0/21af-kimi.md
21af-nested	nested-one-shot	NO_REVIEW	review/v1.1.0/21af-nested.md
30d3-claude	claude	EXCLUDED	review/v1.1.0/30d3-claude.md
30d3-codex	codex	EXCLUDED	review/v1.1.0/30d3-codex.md
30d3-kimi	kimi	EXCLUDED	review/v1.1.0/30d3-kimi.md
30d3-nested	nested-one-shot	EXCLUDED	review/v1.1.0/30d3-nested.md
47b7-codex	codex	FAIL	review/v1.1.0/47b7-codex.md
47b7-nested	nested-one-shot	FAIL	review/v1.1.0/47b7-nested.md
5c0b-claude-cli-order	claude	NO_REVIEW	review/v1.1.0/5c0b-claude-cli-order.md
5c0b-nested-max-turns	nested-one-shot	NO_REVIEW	review/v1.1.0/5c0b-nested-max-turns.md
853f-claude	claude	NO_REVIEW	review/v1.1.0/853f-claude.md
853f-codex	codex	FAIL	review/v1.1.0/853f-codex.md
853f-kimi	kimi	NO_REVIEW	review/v1.1.0/853f-kimi.md
853f-nested	nested-one-shot	NO_REVIEW	review/v1.1.0/853f-nested.md
bb04-claude	claude	EXCLUDED	review/v1.1.0/bb04-claude.md
bb04-codex	codex	FAIL	review/v1.1.0/bb04-codex.md
bb04-kimi	kimi	EXCLUDED	review/v1.1.0/bb04-kimi.md
bb04-nested	nested-one-shot	FAIL	review/v1.1.0/bb04-nested.md
current-claude	claude	PASS	review/v1.1.0/current-claude.md
current-claude-hash-denied	claude	NO_REVIEW	review/v1.1.0/current-claude-hash-denied.md
current-codex	codex	PASS	review/v1.1.0/current-codex.md
current-deterministic	deterministic	PASS	review/v1.1.0/current-deterministic.md
current-kimi	kimi	PASS	review/v1.1.0/current-kimi.md
current-nested-claude	nested-one-shot	PASS	review/v1.1.0/current-nested-claude.md
d3aa-claude	claude	NO_REVIEW	review/v1.1.0/d3aa-claude.md
d3aa-codex	codex	FAIL	review/v1.1.0/d3aa-codex.md
d3aa-kimi	kimi	NO_REVIEW	review/v1.1.0/d3aa-kimi.md
d3aa-nested	nested-one-shot	NO_REVIEW	review/v1.1.0/d3aa-nested.md
db1f-claude	claude	FAIL	review/v1.1.0/db1f-claude.md
db1f-codex	codex	FAIL	review/v1.1.0/db1f-codex.md
db1f-kimi	kimi	NO_REVIEW	review/v1.1.0/db1f-kimi.md
db1f-nested	nested-one-shot	EXCLUDED	review/v1.1.0/db1f-nested.md
dc91-claude	claude	EXCLUDED	review/v1.1.0/dc91-claude.md
dc91-codex	codex	FAIL	review/v1.1.0/dc91-codex.md
dc91-kimi	kimi	NO_REVIEW	review/v1.1.0/dc91-kimi.md
dc91-nested	nested-one-shot	EXCLUDED	review/v1.1.0/dc91-nested.md
f854-codex	codex	FAIL	review/v1.1.0/f854-codex.md
f854-nested	nested-one-shot	FAIL	review/v1.1.0/f854-nested.md
kimi-cli-order	kimi	NO_REVIEW	review/v1.1.0/kimi-cli-order.md
kimi-incompatible-flags	kimi	NO_REVIEW	review/v1.1.0/kimi-incompatible-flags.md
kimi-session-storage	kimi	NO_REVIEW	review/v1.1.0/kimi-session-storage.md
pxx-local-review	pxx	NO_REVIEW	review/v1.1.0/pxx-local-review.md
